Name,Code,Month,Temperature
Uganda,800,7,23.488012
Ukraine,804,7,24.53779
United Arab Emirates,784,7,37.15402
United Kingdom,826,7,14.964545
United States,840,7,22.566105
United States Virgin Islands,VIR,7,28.246002
Uruguay,858,7,9.499972
Uzbekistan,860,7,29.332518
Vanuatu,548,7,24.353497
Venezuela,862,7,25.333275
Vietnam,704,7,26.845972
World,OWID_WRL,7,16.909058
Yemen,887,7,32.8988
Zambia,894,7,19.030407
Zimbabwe,716,7,18.83003
